Word,Related,Value
快,4,0.10905347023427475
送,4,2.0769975420355147
不是,4,-0.25794858116568586
点,6,-0.12159870492096382
性价比,3,0.3649156194355916
几天,2,-0.5839505783934709
好用,7,1.2717751668064172
卡,3,-0.9768372367060508
不能,3,-0.8859600830512034
款,3,0.32426171722346636
还好,5,-0.11831884193571493
下单,8,0.7022966960299688
不会,5,-0.06237575756899237
第二天,6,-0.09331699797867392
不了,5,-0.6127903529751749
还行,6,0.06806818156904478
售后,8,-0.06557566120509481
两个,2,-0.015145560411814543
两天,3,-0.7119762760988998
段时间,2,0.2762519888013353
像素,8,0.37974051158024963
方面,7,0.3580286564999748
给力,8,1.2119023246599254
老爸,10,0.5991647511526159
很大,4,0.35841677889622575
这款,6,0.43436450563182566
玩游戏,7,0.2628413422696339
买手机,7,0.4216504921619431
挺快,3,0.1493987999208761
活动,7,1.7758618476093384
看着,9,0.8947261919102824
里面,10,0.11602980546075659
钢化,6,0.6184798505418565
是不是,5,-0.570915495163836
容易,8,-0.22366775162611263
更好,5,0.4988049976706496
很漂亮,5,1.9770124876316586
舒服,8,0.986040337843351
中兴,8,0.4875684588788463
么,7,-0.5890493984345591
很棒,1,3.502487562407646
贴膜,9,0.7389414543736081
几个,2,-0.01417394118312526
挺不错,3,0.8042654458231596
第二次,0,0
红米,8,0.7245460614632384
实体店,7,0.5275358320045453
还会,5,0.8999795643442245
差不多,7,-0.07443949744519564
自带,8,0.2023849059536325
服务态度,7,0.5594004035467731
版,6,1.4041831238879496
用过,5,-0.09193423110514905
这是,6,0.4036452201238508
乐视,7,0.5499523549900592
买个,5,0.03436942198703792
指纹识别,5,-0.035671613261628196
挺好用,3,0.7282938608411763
可惜,9,-0.2538157026107579
待机时间,6,0.21159839475008466
颜值,5,0.5827201616657633
啊啊啊,6,0.08684073595161068
无法,6,-0.3065729014645379
国产手机,7,0.515300589810429
追评,5,0.4544705534806148
白色,10,1.2392173195730816
棒棒,6,1.6354127754272614
买回来,6,0.4086844342409675
备用机,8,-0.14286881580878988
半个,2,-0.02749383493876678
刚买,5,-0.30489542846474715
先,6,0.6554395330612847
顺手,8,1.0820312942271135
说好,5,0.7098004825701635
不卡,4,0.930942801069902
太快,2,-0.11339265371977654
第二个,0,0
差评,8,-0.15847226371662618
没得说,4,1.4004731773323082
模式,9,0.2904510765138993
新手机,6,-0.16632149208485308
直用,5,1.6181039127506651
不想,6,-0.3290219463163592
三个,2,-0.015706771499950686
国产机,6,0.26290120402533174
太慢,1,-0.28275946601497687
几次,5,-0.7685113329023281
不太好,2,-1.001945005735594
既往,5,0.47319383997941494
换货,7,-0.26570228090620807
总之,5,0.8622048796723909
发烫,4,-1.019701170630045
直在,1,1.3585030384413235
收货,7,0.753151957077368
哈哈哈哈,7,1.8230675113823445
超快,3,-0.21873845831197095
想要,10,0.515908742245035
触屏,6,0.05637826943224456
玻璃,9,0.504248664469936
好不好,6,0.08758145244681413
电子产品,7,0.9230579323933277
买过,4,0.47062169040218826
好几个,0,0
第二部,0,0
多月,7,-0.09266300177182754
比较满意,6,0.5991940863939469
手机套,7,0.8299728275051687
用用,3,0.4442651092868755
次用,3,0.15834807697906983
两次,8,-0.8659381965110504
内存卡,1,-0.7122582534452473
刚用,3,0.13869328264720185
没电,6,-0.5987650818209821
惊艳,9,1.2785700385456087
没货,5,-0.664280998126013
双卡,3,-0.24400946811129717
蓝牙,6,0.86509328193605
卡机,3,-0.9594433362368293
这点,8,-0.1997960373095389
反应速度,5,-0.6312519616630838
手机卡,2,-0.018829426468803256
前置,7,0.5059029081046572
顺畅,8,0.8926763841537001
店里,6,0.7535768025769393
感受,9,0.45587861731864343
最大,4,-0.016736252217086245
没话说,3,2.0057655339622227
有个,4,0.35410267481143776
第三个,0,0
太差,3,-0.6281593463065575
不爽,10,-1.6203205864439607
自动关机,5,-2.0768421278763283
价格便宜,6,1.5453292662430682
大屏幕,8,0.7031034892186366
点赞,7,1.552281561438671
色彩,7,1.062248342978093
不怎么样,0,0
图,8,0.6007015447424539
外放,7,-0.054732996637275065
卸载,8,0.09081284241429768
长时间,4,-0.1879355070078616
买到,4,1.574213449820622
真不错,6,1.5226599908178704
内,9,0.2626142844322011
能用,5,0.06886497130189215
爸妈,9,0.45970114445919996
送个,3,1.719244706693787
高配,4,1.7613154389539465
超好,4,1.817682210201824
这么久,1,0.27608970746268097
不高,2,0.8246115671219978
未激活,7,1.5958840878993148
自拍,5,0.7414741027491004
同时,9,0.22384746752497053
不敢,8,-0.29563508155208545
快充,5,0.7153660158802011
数据线,8,-0.45475369810453714
双十,9,0.3082079607921927
电池容量,5,-0.13004091034283144
两年,4,-0.1757473795589276
第三次,0,0
看电视,4,0.3024984507125996
越做越,7,0.6493760304889123
手机电池,5,-0.27254597470769465
第二台,0,0
先用,5,0.28387493487415305
块钱,7,0.6067338639760465
两部,0,0
恍恍惚惚,7,1.9293709741230234
通话质量,5,0.30107782040329123
旗舰机,9,0.6640176979594032
物有所值,6,1.8051824549497297
帮别人,0,0
不灵敏,6,-0.8819171164629368
卡槽,5,-0.6632324676037178
送人,8,1.015621493407105
用后,6,0.3242438870927388
很赞,2,2.678906293335889
摔坏,6,-1.3311822531437754
为啥,5,-1.6415521935199358
这台,3,0.21301651562623433
不像,7,-0.1365819107884067
物超所值,6,1.9476047861117527
用久,2,0.6413321641662854
黑边,10,0.24557046936696075
几百块,3,-0.885102202066553
哦哦哦,10,0.49579052292944487
运存,10,0.36581404972620596
冲着,6,0.5081137123789485
接电话,4,-0.2281980147494106
价格比,3,0.5612153172166429
换个,3,0.12480063646681332
并且,7,0.15765194680630173
很爽,6,1.6297761062921419
有没有,6,-0.2734215905894342
假货,9,-0.271298999529124
正,7,1.4973473470770584
两台,1,-0.7892699128482749
个人感觉,8,0.6971898369048943
太好了,2,2.272057816477177
换机,6,-0.08689849204818952
十个,3,0.06501892596753701
用起,6,0.3292093764707239
没用过,6,0.49413150060786587
昨天晚上,7,-0.5964722150672835
说用,3,0.45050369293059783
怎么回事,5,-1.446260015478607
几年,2,-0.5798046517598348
第三部,0,0
生日礼物,8,0.9612178528135951
双待,4,0.2555773290324037
内置,7,0.08922910335880041
序列号,7,0.4322629171680582
用惯,2,-0.053936564096048925
闪退,4,-0.788862938155682
咋样,6,0.06541601196680494
送过来,9,0.758860846800953
免息,7,0.3827610679521535
卡死,6,-1.914597079995527
骁龙,8,0.6485188147411294
买不到,7,0.8491829980949631
直是,8,1.335110161962417
费电,9,-0.917602530854257
好点,5,0.34694384621408286
目前为止,8,-0.18482216823325273
网页,8,0.3832487809882996
后置,7,0.46624351340195686
屏幕显示,7,0.5505925832110907
魅蓝,7,0.6881049890795926
拿来,8,0.18295495790657446
刚到,7,0.8129445410322605
短信,6,-0.24393275114496535
很值,4,0.9718078640019212
双摄,8,0.8152049327978298
打游戏,3,0.31022600828035835
够快,4,-0.25373623589271527
第三方,10,1.0120751692473011
还来,4,1.6490823017946683
般的,6,-0.20995918151548376
不让,10,-0.09187472303923593
同价位,9,0.7624082859377042
二,9,-0.005102757446868815
王王,7,0.7749220948725848
酷派,7,0.8434690164874592
点多,1,0.36612401328734445
小卡,2,0.1242908852391231
四个,2,-0.01584537504944422
很差,1,1.3033722627765643
过段时间,6,0.24183293734401837
产品质量,7,1.3026182412733902
真机,8,0.9595615571637565
比官,4,-0.29713780921348554
挺大,5,0.4821341537203743
智能手机,5,0.009127748612586417
曲屏,4,0.6881363366923915
手机信号,4,0.4983237372324604
功能齐全,3,0.18337331386138536
美颜,6,0.8848354045502376
像是,6,0.1806137257494558
派送,7,0.8786542136860994
好快,4,-0.25147873391710196
单手操作,5,0.7544725613264561
非常适合,6,0.508161237493053
我要,6,-0.7472626019916504
京豆,5,0.3731432286355033
点个,3,1.5450501400885888
不买,3,-0.6648635540400437
外观设计,9,1.637430226407778
掉电,6,-0.7478406805708583
国产品牌,8,0.660480831310623
今天上午,5,-0.19807039229762735
压力,5,-0.44501240040203366
很少,3,-0.12952674275594434
隔天,6,0.34434112958900004
系统优化,6,0.7642656463597565
再用,4,0.336897634766349
抢到,5,0.6781596115602213
听歌,6,0.22126376084776692
买买,7,1.2973592013656048
机了,1,-0.25288092140375773
很久,4,-0.25786818093690217
再评,5,0.4661735154684762
没买,4,0.41295468058949375
不值,6,-0.13630283016443356
不带,4,0.05462875502088194
段,4,0.19527418992679618
蛮快,2,-0.0913473934739394
嘻嘻,8,0.20607437857311192
不贵,5,1.1441568975492833
评差,5,0.3084177556047606
商务,10,0.7004089333715562
不给力,4,-0.4348217829453398
快点,3,0.04242112131554369
此款,7,0.5853372747235875
误触,6,-0.4929228608701015
三次,3,0.0356266244925077
拿在手上,9,1.7128615982561357
算了,4,-0.31359649584573757
对焦,9,0.5937566908721558
打不开,6,-0.8500633003260615
同款,5,-0.10803833255170184
没送,2,0.16657555698249768
第三天,5,-0.0725595125481168
不送,2,0.12469781545268804
电信卡,5,-0.338979720208842
拨号,8,-0.10746629421625342
货到,6,1.0052517622502055
高通,8,0.6449922048868799
