Word,Sim_good,Sim_bad,Value
的,0.536682136877,0.373669159424,0.163012977453
了,0.119274935526,0.554223326833,-0.434948391306
手机,0.752667450949,0.604469023017,0.148198427932
用,1.14509071962,0.524003236007,0.62108748361
很,0.88777757622,-0.499200621985,1.38697819821
好,2.57227220278,1.35167978284,1.22059241994
是,0.264598012182,0.506091908108,-0.241493895926
买,0.848544688255,0.324464638677,0.524080049578
也,0.701704478676,0.591454506497,0.11024997218
不错,2.33007697457,0.33793511534,1.99214185923
还,0.282094494352,0.162345207467,0.119749286885
我,0.288362594352,0.876237566187,-0.587874971835
就,-0.2567088879,0.196076474037,-0.452785361937
就是,-0.0239900907299,0.748983273789,-0.772973364519
京东,0.533211118468,0.405380687676,0.127830430791
不,-0.213348896643,0.430154464129,-0.643503360772
都,0.38537581115,0.631361913943,-0.245986102792
给,0.88343125057,0.394364214866,0.489067035704
没有,-0.0982727179381,0.481463185873,-0.579735903811
可以,0.797553501743,0.235997986797,0.561555514946
有,0.369092015824,0.615368913166,-0.246276897343
在,0.427597387132,0.566619275628,-0.139021888495
还是,0.343140712957,-0.0866132218863,0.429753934843
没,-0.0872139210684,0.443794896342,-0.53100881741
感觉,0.96363363034,0.720883431705,0.242750198634
说,0.689656147914,0.924817561288,-0.235161413374
喜欢,2.67232232671,0.840766944314,1.83155538239
非常,1.07270601878,-0.220054575341,1.29276059412
这个,1.0226624815,0.696558127699,0.326104353798
问题,0.331398357058,1.29936362998,-0.967965272917
挺,0.743521430092,-0.325369616134,1.06889104623
这,0.78319089087,0.872663773485,-0.0894728826153
快,1.13764750007,0.486345230388,0.651302269686
吧,-0.0926191994909,0.0499975569124,-0.142616756403
到,-0.246147124305,0.160942077031,-0.407089201336
有点,-0.3923731418,-0.0380686864215,-0.354304455379
速度,0.784323053717,0.210695803091,0.573627250625
和,0.457743560676,0.452861578943,0.00488198173331
使用,0.49734492753,-0.0971140867994,0.594459014329
屏幕,0.156990187673,0.332006868093,-0.17501668042
华为,0.908392572122,0.658070456349,0.250322115773
好好,1.36381547338,0.201328381116,1.16248709226
快递,0.254230355087,0.153913118213,0.100317236874
比,0.134929783718,0.127912175835,0.00701760788287
一个,0.170062879068,0.124168550953,0.0458943281148
东西,0.712288764207,0.448252790958,0.264035973248
小米,0.781850854166,0.770267806824,0.0115830473418
大,0.717927992673,0.562032607817,0.155895384856
才,-0.194568425814,0.174808153818,-0.369376579631
满意,2.71669493953,1.19539823637,1.52129670315
一直,0.963477970199,0.261887213687,0.701590756512
啊,0.132970765345,0.0383595167246,0.0946112486207
着,0.831674186168,0.0919485793794,0.739725606788
现在,0.770319201748,0.566401939425,0.203917262323
送,0.882331348368,1.02486948728,-0.142538138916
再,-0.00332047689736,0.072178343135,-0.0754988200323
系统,0.306711786109,0.271369121867,0.0353426642416
上,0.42871243087,0.600891457013,-0.172179026144
知道,0.310954229764,0.590385748036,-0.279431518271
电池,0.123596197841,0.122194315189,0.00140188265204
收到,0.582551742553,0.270158446087,0.312393296466
价格,0.546104034127,-0.176786175414,0.722890209542
质量,0.855362436218,0.282812943215,0.572549493003
但是,0.50774309932,0.90030798055,-0.39256488123
来,0.527415553495,0.617154779842,-0.0897392263465
什么,0.121629399715,0.616941277055,-0.495311877339
多,0.521655158967,0.971735593842,-0.450080434875
不过,0.760484478894,0.664143283816,0.0963411950788
物流,0.443137114892,0.107916536187,0.335220578705
评价,0.441354751858,0.148833599331,0.292521152527
要,-0.115680421644,0.0829834467243,-0.198663868368
不是,0.253045579422,0.468441423224,-0.215395843801
比较,-0.403836656209,-0.803053015731,0.399216359523
个,-0.00105937442588,0.232808596197,-0.233867970623
看,0.242354725387,0.0163507672287,0.226003958158
苹果,0.510849819868,0.859783259499,-0.348933439631
真的,0.628673352753,0.603305911781,0.0253674409715
三星,0.693234545029,0.917847394821,-0.224612849791
会,0.22564841294,0.214281990147,0.0113664227937
能,0.0778429882291,0.192639893973,-0.114796905744
又,-0.320806611697,-0.171225030127,-0.14958158157
希望,0.0602476856492,0.0229119829346,0.0373357027146
后,0.0926771692328,0.313573697545,-0.220896528312
太,-0.67303951635,0.423501603081,-1.09654111943
很快,1.12230370063,-0.174457682311,1.29676138294
老人,0.774629948839,0.336393398844,0.438236549995
已经,0.366356773951,0.384453868509,-0.0180970945572
性价比,1.09293927882,-0.219600172547,1.31253945136
高,1.65213780212,0.866836919256,0.785300882863
自己,0.0422449982305,0.673105760793,-0.630860762562
啦,0.305513420744,0.265127900357,0.0403855203874
购买,0.544901226644,-0.394967370856,0.939868597501
朋友,0.774732209437,-0.0830076478422,0.857739857279
功能,0.53621038162,0.315699388413,0.220510993207
时候,0.0546504093128,0.62209625775,-0.567445848437
支持,0.993191117014,0.0773828512252,0.915808265789
以后,0.730621400246,0.516879281844,0.213742118402
特别,0.48124030542,-0.0148464210758,0.496086726496
小,0.526406253122,0.874717367647,-0.348311114525
充电,0.0836386020453,0.404072289114,-0.320433687069
但,0.370830545505,0.665318369509,-0.294487824004
流畅,1.85690050882,0.408670916879,1.44822959194
几天,0.535849982885,0.358509306347,0.177340676538
外观,0.64728116861,-0.43482705995,1.08210822856
起来,0.95542920299,0.0528268436663,0.902602359324
客服,0.199585296886,0.783537956706,-0.58395265982
机子,0.504227012882,0.126012045965,0.378214966917
便宜,1.37217235125,0.721013229132,0.651159122113
你,-0.289057262849,0.278536233201,-0.56759349605
还有,-0.210197701814,0.472923704773,-0.683121406587
包装,0.0451434800996,0.172599118565,-0.127455638465
而且,0.806188176152,0.683646075928,0.122542100223
