Word,Sim_good,Sim_bad,Value
手机,0.796014250568,0.627377315843,0.168636934726
用,1.1798048005,0.474147119309,0.70565768119
买,0.85210202847,0.346520864241,0.505581164229
不错,2.39044222354,0.378549358883,2.01189286466
就是,0.0673159929965,0.72277608838,-0.655460095383
京东,0.572440502504,0.402667082746,0.169773419758
给,0.936926097302,0.368042906749,0.568883190553
可以,0.851703134377,0.21098550882,0.640717625557
还是,0.374893982448,-0.162649820168,0.537543802617
感觉,0.976137689524,0.697753989422,0.278383700102
喜欢,2.64079543372,0.899703441349,1.74109199237
个,0.134323026276,0.55183611502,-0.417513088744
这个,1.04222669107,0.813855227332,0.228371463742
问题,0.359007437478,1.35074839141,-0.991740953936
快,1.29635468162,0.513704505168,0.782650176447
吧,0.00253885660179,0.109775141858,-0.107236285256
速度,0.947099116482,0.395040789912,0.55205832657
屏幕,0.10866997274,0.294309613688,-0.185639640948
使用,0.505466272049,-0.144871683173,0.650337955221
好好,1.33946634444,0.262397261335,1.07706908311
华为,0.928464876839,0.691831288206,0.236633588633
比,0.228534531279,0.104512376343,0.124022154936
快递,0.215954860434,0.177083432206,0.038871428228
东西,0.727875100535,0.501562149198,0.226312951337
大,0.804573575504,0.555068304181,0.249505271324
小米,0.750404348971,0.79034827321,-0.0399439242392
满意,2.74670427743,1.19266316808,1.55404110935
啊,0.165293857776,0.0314924128003,0.133801444975
才,-0.201041361628,0.0548688539892,-0.255910215617
现在,0.823429068449,0.622603275683,0.200825792766
系统,0.332635565743,0.279851864637,0.052783701106
送,0.984565308648,1.02113378573,-0.0365684770835
知道,0.475804967434,0.789058880624,-0.313253913189
上,0.40007121916,0.434980324344,-0.0349091051841
电池,0.2338791369,0.140010521682,0.0938686152177
再,0.0788229291721,0.117112693201,-0.0382897640291
什么,0.165634037952,0.673773755262,-0.508139717309
价格,0.615385864823,-0.217595667578,0.832981532401
质量,1.03784903675,0.400753213538,0.637095823208
收到,0.729262549249,0.472691540791,0.256571008458
但是,0.573511386355,0.897582748103,-0.324071361748
来,0.669294215741,0.733467673578,-0.0641734578369
物流,0.529768333743,0.163395669026,0.366372664717
比较,-0.370270123283,-0.733205445307,0.362935322024
不是,0.451153847006,0.604125393598,-0.152971546593
苹果,0.509557943217,0.966869962826,-0.457312019609
真的,0.739837137518,0.578137043116,0.161700094402
评价,0.516943660419,0.301088443657,0.215855216762
三星,0.639958896945,0.987837608783,-0.347878711838
能,0.0940568729604,0.0992271918818,-0.00517031892133
又,-0.344241116467,-0.231174712436,-0.113066404031
希望,-0.0358370735398,-0.0526643320821,0.0168272585423
点,-0.377122796746,-0.17404668805,-0.203076108696
月,0.297789973942,0.581825960384,-0.284035986442
很快,1.26077324185,-0.0601263116011,1.32089955345
后,0.180025985219,0.284015065126,-0.103989079906
下,0.180041875243,0.261322765383,-0.0812808901399
老人,0.812998223754,0.323056265272,0.489941958482
已经,0.415521688162,0.379817087302,0.0357046008602
啦,0.477433820588,0.457662882412,0.0197709381756
高,1.68787585561,0.700294416127,0.987581439479
性价比,1.17154774916,-0.186549630999,1.35809738016
功能,0.612647157629,0.435236700349,0.17741045728
时候,0.153534801646,0.616065814971,-0.462531013324
购买,0.457598024281,-0.51987879942,0.977476823701
朋友,0.798419727422,-0.0347390429475,0.83315877037
以后,0.704550283672,0.535843846956,0.168706436716
支持,1.13192908272,0.222860275187,0.909068807534
流畅,1.92438223647,0.437362552559,1.48701968391
几天,0.558685982979,0.456393075047,0.102292907932
小,0.645505913521,0.85268667284,-0.207180759319
外观,0.844954711993,-0.346202986756,1.19115769875
充电,0.00433633583169,0.311644810203,-0.307308474372
但,0.411671413043,0.584100267087,-0.172428854044
起来,1.03951508775,0.11839391731,0.921121170442
客服,0.158703856915,0.751993727381,-0.593289870466
机子,0.584532158306,0.213520434271,0.371011724034
便宜,1.30054330755,0.649922326749,0.6506209808
包装,0.0965031856332,0.286571894099,-0.190068708465
而且,0.873890503115,0.59995268905,0.273937814065
内存,0.258417054233,0.0141303399357,0.244286714297
次,0.434652254812,0.794487125903,-0.359834871092
还有,-0.1970670788,0.446479479006,-0.643546557806
正品,0.84172222051,0.259086515735,0.582635704775
机,0.110209138677,0.234799452219,-0.124590313541
好用,1.91464471914,0.652200091463,1.26244462768
运行,0.643076224866,-0.195939797553,0.839016022419
值得,1.41341377272,0.0939732022652,1.31944057046
直,0.561019103844,0.109575106114,0.45144399773
卡,0.625733100659,1.28830080784,-0.66256770718
觉得,1.20277483626,0.592763102079,0.610011734179
呢,0.31754788369,0.616561291862,-0.299013408172
其他,0.864785551763,0.751377689225,0.113407862538
不好,1.01536729673,2.3710854208,-1.35571812406
等,0.121236308793,0.255272911723,-0.134036602929
送货,0.523754282967,0.0709512295379,0.45280305343
反应,0.865978876608,0.487676150218,0.37830272639
不能,-0.471261095802,0.858166075993,-1.3294271718
发现,0.0824169081653,0.662798121672,-0.580381213506
哦,0.649220065702,-0.237875501539,0.88709556724
声音,0.694413346358,0.679481670542,0.0149316758163
服务,0.777739944861,0.267743777742,0.509996167118
拍照,0.406536698382,0.244738706068,0.161797992314
好看,1.89628737424,0.926325601114,0.969961773123
款,0.87817290987,-0.10935905399,0.987531963861
刚,0.258340845046,0.204593430214,0.0537474148325
中,0.0475789133153,0.244042032456,-0.196463119141
天,0.134152829918,0.317276718822,-0.183123888903
让,0.252161945481,0.664891104602,-0.412729159121
手感,1.28312064923,-0.0149171448432,1.29803779407
膜,0.0482653488351,0.693263506544,-0.644998157709
之前,0.522237178369,1.05129610645,-0.529058928086
