Word,Sim_good,Sim_bad,Value
快,0.650352418852,0.424839082854,0.225513335998
送,0.639730389185,0.520472806271,0.119257582914
不是,0.366233669791,0.597532324036,-0.231298654245
点,-0.277096881785,-0.191870091946,-0.0852267898391
性价比,0.618555197409,-0.178439767447,0.796994964856
几天,0.340488442428,0.20716661165,0.133321830778
好用,0.748995220454,0.515566174766,0.233429045688
卡,0.348896623262,0.8012663887,-0.452369765439
不能,-0.32064135754,0.798847570246,-1.11948892779
款,0.429934567327,-0.079040820579,0.508975387906
他,0.457344449713,0.332848466796,0.124495982917
还好,0.725499881763,0.429478473579,0.296021408184
下单,-0.0538922579254,-0.498775592739,0.444883334814
不会,-0.0470077888292,0.361277791816,-0.408285580645
第二天,0.141328859696,0.0645323882994,0.0767964713965
不了,-0.167857620573,0.812483285149,-0.980340905722
还行,0.786742735343,0.379733239817,0.407009495527
售后,-0.127028512634,0.271589987132,-0.398618499766
两个,0.186845012016,0.286157845151,-0.0993128331346
两天,0.170270721012,0.140400836398,0.0298698846139
段时间,0.499962807387,0.284188195314,0.215774612072
像素,0.14185886232,0.284590710794,-0.142731848474
方面,0.511654711265,0.289963506818,0.221691204447
给力,0.755286730787,0.541463685824,0.213823044963
老爸,0.761942839186,-0.0235810710323,0.785523910219
很大,0.483870335822,-0.204678726881,0.688549062703
这款,0.657173648845,0.071875644473,0.585298004372
玩游戏,0.313105657553,-0.180191909173,0.493297566725
买手机,0.218216662096,-0.0321845472588,0.250401209355
挺快,0.725959482667,0.05452161978,0.671437862887
活动,0.111108453314,-0.210711405935,0.321819859249
看着,0.712446949836,0.0694220786892,0.643024871146
里面,0.097339059638,0.747639695411,-0.650300635773
钢化,0.1656697627,0.52793933578,-0.36226957308
是不是,-0.101715998604,0.563908418857,-0.665624417461
容易,0.440663944604,0.646383397699,-0.205719453095
更好,0.355989884032,0.55244744258,-0.196457558548
很漂亮,0.90792009739,-0.108041689058,1.01596178645
舒服,1.18498501049,0.667352329164,0.517632681331
中兴,0.570410515374,0.568592913673,0.00181760170158
么,-0.108963454494,0.441401888945,-0.550365343439
很棒,1.16090721699,0.313403146767,0.847504070226
贴膜,-0.10117081558,0.274953922312,-0.376124737892
几个,0.126458686233,0.199461120318,-0.0730024340845
挺不错,1.13748458751,0.211320744611,0.926163842903
第二次,0.590356030984,0.0895604758419,0.500795555142
红米,0.413507221352,0.457329610513,-0.0438223891609
实体店,0.169163566798,0.0993946192199,0.0697689475778
还会,0.312003650144,-0.0921495021433,0.404153152287
差不多,0.205646568644,0.172324157672,0.0333224109717
自带,0.245830927285,0.892465959279,-0.646635031993
服务态度,0.642504968832,0.187194556489,0.455310412343
版,-0.0488397148825,0.127901369854,-0.176741084737
用过,0.340826505877,0.421288866592,-0.0804623607142
这是,0.194003352213,0.406811579947,-0.212808227734
乐视,0.484887006716,0.569745167955,-0.0848581612389
买个,0.10012845374,-0.00331548050413,0.103443934244
指纹识别,-0.0271181159871,0.283433872438,-0.310551988425
